Strain	Flagellin
Acetobacteraceae_bacterium_868	0
Acetobacter_aceti_TMW2.1153	1
Acetobacter_ascendens_LMG_1590	0
Acetobacter_ghanensis_LMG_23848T	1
Acetobacter_orientalis_FAN1	1
Acetobacter_oryzifermentans_SLV-7	0
Acetobacter_oryzoeni_B6	0
Acetobacter_pasteurianus_IFO_3283_substr._IFO_3283-01	0
Acetobacter_persici_TMW2.1084	1
Acetobacter_senegalensis_108B	0
Acetobacter_tropicalis_BDGP1	0
Acidibrevibacterium_fodinaquatile_G45-3	1
Acidiphilium_multivorum_AIU301	1
Agrobacterium_fabrum_C58	1
Agrobacterium_larrymoorei_CFBP5473	1
Agrobacterium_rhizogenes_K599	1
Agrobacterium_tumefaciens_Ach5	1
Agrobacterium_vitis_S4	1
Altererythrobacter_atlanticus_26DY36	1
Altererythrobacter_dongtanensis_KCTC_22672	0
Altererythrobacter_epoxidivorans_CGMCC_1.7731	0
Altererythrobacter_ishigakiensis_NBRC_107699	0
Altererythrobacter_mangrovi_C9-11	0
Altererythrobacter_marensis_KCTC_22370	1
Altererythrobacter_namhicola_JCM_16345	0
Aminobacter_aminovorans_KCTC_2477	1
Anaplasma_centrale_Israel	0
Anaplasma_marginale_Florida	0
Anaplasma_ovis_Haibei	0
Anaplasma_phagocytophilum_HZ	0
Ancylobacter_pratisalsi_DSM_102029	0
Antarctobacter_heliothermus_SMS3	1
Asaia_bogorensis_NBRC_16594	1
Asticcacaulis_excentricus_CB_48	1
Azorhizobium_caulinodans_ORS_571	1
Azospirillum_brasilense_Sp_7	1
Azospirillum_humicireducens_SgZ-5	1
Azospirillum_lipoferum_4B	1
Azospirillum_thiophilum_BV-S	1
Bartonella_ancashensis_20	1
Bartonella_apis_BBC0122	1
Bartonella_australis_Aust_NH1	0
Bartonella_bacilliformis_KC583	1
Bartonella_birtlesii_IBS_325	0
Bartonella_bovis_04_91	1
Bartonella_clarridgeiae_73	1
Bartonella_elizabethae_NCTC12898	0
Bartonella_grahamii_as4aup	0
Bartonella_henselae_Houston-1	0
Bartonella_quintana_Toulouse	0
Bartonella_schoenbuchensis_R1	1
Bartonella_tribocorum_506	0
Bartonella_vinsonii_Winnie	0
Beijerinckiaceae_bacterium_MG08	1
Beijerinckia_indica_ATCC_9039	1
Blastochloris_tepida_GI	1
Blastochloris_viridis_ATCC_19567	1
Blastomonas_fulva_T2	1
Bosea_vaviloviae_Vaf18	1
Bradyrhizobium_amphicarpaeae_39S1MB	1
Bradyrhizobium_betae_PL7HG1	1
Bradyrhizobium_canariense_GAS369	1
Bradyrhizobium_diazoefficiens_USDA_110	1
Bradyrhizobium_erythrophlei_GAS401	1
Bradyrhizobium_guangdongense_CCBAU_51649	1
Bradyrhizobium_guangxiense_CCBAU_53363	1
Bradyrhizobium_guangzhouense_CCBAU_51670	1
Bradyrhizobium_icense_LMTR_13	0
Bradyrhizobium_japonicum_USDA_6	1
Bradyrhizobium_lablabi_MT34	0
Bradyrhizobium_oligotrophicum_S58	1
Bradyrhizobium_ottawaense_OO99	1
Bradyrhizobium_paxllaeri_LMTR_21	1
Bradyrhizobium_symbiodeficiens_85S1MB	1
Bradyrhizobium_zhanjiangense_CCBAU_51778	1
Brevirhabdus_pacifica_DY6-4	1
Brevundimonas_diminuta_ATCC_B_19146	1
Brevundimonas_mediterranea_D151-2-6	1
Brevundimonas_naejangsanensis_B1	1
Brevundimonas_subvibrioides_ATCC_15264	1
Brevundimonas_vancanneytii_NCTC9239	1
Brevundimonas_vesicularis_FDAARGOS_289	1
Brucella_abortus_2308	1
Brucella_canis_NoStrain1	1
Brucella_melitensis_16M	1
Brucella_microti_CCM_4915	1
Brucella_ovis_ATCC_25840	1
Brucella_suis_1330	1
Caulobacter_flavus_RHGG3	1
Caulobacter_henricii_CB4	1
Caulobacter_mirabilis_FWC_38	1
Caulobacter_rhizosphaerae_KCTC_52515	1
Caulobacter_segnis_ATCC_21756	1
Caulobacter_vibrioides_CB2A	1
Celeribacter_ethanolicus_TSPH2	1
Celeribacter_indicus_P73	1
Celeribacter_manganoxidans_DY25	0
Celeribacter_marinus_IMCC12053	1
Croceicoccus_marinus_E4A9	1
Croceicoccus_naphthovorans_PQ-2	0
Defluviimonas_alba_cai42	1
Devosia_ginsengisoli_Gsoil_520	1
Dinoroseobacter_shibae_DFL_12	1
Ehrlichia_canis_Jake	0
Ehrlichia_chaffeensis_Arkansas	0
Ehrlichia_muris_AS145	0
Ehrlichia_ruminantium_Welgevonden	0
Emcibacter_congregatus_ZYLT	1
Ensifer_adhaerens_Casida_A	1
Ensifer_alkalisoli_YIC4027	1
Ensifer_sojae_CCBAU_05684	1
Epibacterium_mobile_F1926	1
Erythrobacter_atlanticus_s21-N3	1
Erythrobacter_flavus_VG1	0
Erythrobacter_gangjinensis_CGMCC_1.15024	0
Erythrobacter_litoralis_DSM_8509	1
Erythrobacter_seohaensis_SW-135	0
Ferrovibrio_terrae_K5	1
Fluviibacterium_aquatile_SC52	1
Georhizobium_profundi_WS11	1
Gluconacetobacter_diazotrophicus_PAl_5	1
Gluconobacter_albidus_TMW2.1191	1
Gluconobacter_oxydans_H24	1
Gluconobacter_thailandicus_HD924	1
Glycocaulis_alkaliphilus_6B-8	1
Granulibacter_bethesdensis_CGDNIH1	0
Haematobacter_massiliensis_OT1	1
Haematospirillum_jordaniae_H5569	1
Halocynthiibacter_arcticus_PAMC_20958	1
Halovulum_dunhuangense_RR4-56	1
Hartmannibacter_diazotrophicus_E19	1
Hirschia_baltica_ATCC_49814	1
Hoeflea_phototrophica_DFL-43	1
