#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,New
Agrobacterium tumefaciens,Bacteria;Proteobacteria;Alphaproteobacteria,Ach5,SAMN03420836,PRJNA278497,GCA_000971565.1,Complete,5.66866,58.4702,chromosome circular:NZ_CP011246.1/CP011246.1; chromosome linear:NZ_CP011247.1/CP011247.1; plasmid pAt:NZ_CP011248.1/CP011248.1; plasmid pTi:NZ_CP011249.1/CP011249.1,,4,5149,2015-04-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/971/565/GCA_000971565.1_ASM97156v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/565/GCF_000971565.1_ASM97156v1,x
Anaplasma marginale str. Florida,Bacteria;Proteobacteria;Alphaproteobacteria,Florida,SAMN02604306,PRJNA16369,GCA_000020305.1,Complete,1.20243,49.8,chromosome:NC_012026.1/CP001079.1,,1,950,2009-02-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/305/GCA_000020305.1_ASM2030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/305/GCF_000020305.1_ASM2030v1,x
Wolbachia endosymbiont strain TRS of Brugia malayi,Bacteria;Proteobacteria;Alphaproteobacteria,wBm,SAMN02603678,PRJNA12475,GCA_000008385.1,Complete,1.08008,34.2,chromosome:NC_006833.1/AE017321.1,,1,832,2005-02-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/385/GCA_000008385.1_ASM838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/385/GCF_000008385.1_ASM838v1,x
Ehrlichia ruminantium str. Welgevonden,Bacteria;Proteobacteria;Alphaproteobacteria,Welgevonden,SAMEA1705918,PRJNA9614,GCA_000026005.1,Complete,1.51635,27.5,chromosome:NC_005295.2/CR767821.1,,1,930,2003-12-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/005/GCA_000026005.1_ASM2600v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/005/GCF_000026005.1_ASM2600v1,x
Ehrlichia chaffeensis str. Arkansas,Bacteria;Proteobacteria;Alphaproteobacteria,Arkansas,SAMN02604010,PRJNA325,GCA_000013145.1,Complete,1.17625,30.1,chromosome:NC_007799.1/CP000236.1,,1,882,2006-02-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/145/GCA_000013145.1_ASM1314v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/145/GCF_000013145.1_ASM1314v1,x
Rhodopseudomonas palustris BisB18,Bacteria;Proteobacteria;Alphaproteobacteria,BisB18,SAMN02598337,PRJNA15750,GCA_000013745.1,Complete,5.51384,65,chromosome:NC_007925.1/CP000301.1,,1,4889,2006-03-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/745/GCA_000013745.1_ASM1374v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/745/GCF_000013745.1_ASM1374v1,x
Rhodobacter sphaeroides 2.4.1,Bacteria;Proteobacteria;Alphaproteobacteria,2.4.1,SAMN09479592,PRJNA477813,GCA_003324715.1,Complete,4.62975,68.7646,chromosome 1:NZ_CP030271.1/CP030271.1; chromosome 2:NZ_CP030272.1/CP030272.1; plasmid pA:NZ_CP030273.1/CP030273.1; plasmid pB:NZ_CP030274.1/CP030274.1; plasmid pC:NZ_CP030275.1/CP030275.1; plasmid pDE:NZ_CP030276.1/CP030276.1,,6,4323,2018-07-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/324/715/GCA_003324715.1_ASM332471v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/324/715/GCF_003324715.1_ASM332471v1,x
Brucella abortus 2308,Bacteria;Proteobacteria;Alphaproteobacteria,2308,SAMEA3138256,PRJNA16203,GCA_000054005.1,Complete,3.27831,57.2353,chromosome I:NC_007618.1/AM040264.1; chromosome II:NC_007624.1/AM040265.1,,2,2970,2005-11-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/054/005/GCA_000054005.1_ASM5400v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/054/005/GCF_000054005.1_ASM5400v1,x
Bartonella bacilliformis KC583,Bacteria;Proteobacteria;Alphaproteobacteria,KC583,SAMN02604047,PRJNA16249,GCA_000015445.1,Complete,1.44502,38.2,chromosome:NC_008783.1/CP000524.1,,1,1164,2007-01-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/445/GCA_000015445.1_ASM1544v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/445/GCF_000015445.1_ASM1544v1,x
Roseobacter denitrificans OCh 114,Bacteria;Proteobacteria;Alphaproteobacteria,OCh 114,SAMN02602987,PRJNA16426,GCA_000014045.1,Complete,4.33123,58.9096,chromosome:NC_008209.1/CP000362.1; plasmid pTB1:NC_008386.1/CP000464.1; plasmid pTB2:NC_008387.1/CP000465.1; plasmid pTB3:NC_008388.1/CP000466.1; plasmid pTB4:NC_008389.1/CP000467.1,,5,3951,2006-06-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/045/GCA_000014045.1_ASM1404v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/045/GCF_000014045.1_ASM1404v1,x
