#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,x
Pseudomonas fluorescens,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC10038,SAMEA3649026,PRJEB6403,GCA_900475215.1,Complete,6.51517,60,chromosome 1:NZ_LS483372.1/LS483372.1,,1,5688,2018-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/215/GCA_900475215.1_42727_B01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/215/GCF_900475215.1_42727_B01,x
Xanthomonas campestris pv. campestris str. ATCC 33913,Bacteria;Proteobacteria;Gammaproteobacteria,ATCC 33913,SAMN02603845,PRJNA296,GCA_000007145.1,Complete,5.07619,65.1,chromosome:NC_003902.1/AE008922.1,,1,4163,2001-11-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/145/GCA_000007145.1_ASM714v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/145/GCF_000007145.1_ASM714v1,x
Yersinia pestis,Bacteria;Proteobacteria;Gammaproteobacteria,FDAARGOS_601,SAMN10228581,PRJNA231221,GCA_003798225.1,Complete,4.93096,47.6924,chromosome:NZ_CP033699.1/CP033699.1; plasmid unnamed1:NZ_CP033697.1/CP033697.1; plasmid unnamed2:NZ_CP033698.1/CP033698.1; plasmid unnamed3:NZ_CP033700.1/CP033700.1,,4,4113,2018-11-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/225/GCA_003798225.1_ASM379822v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/798/225/GCF_003798225.1_ASM379822v1,x
Actinobacillus pleuropneumoniae,Bacteria;Proteobacteria;Gammaproteobacteria,S4074,SAMN09519162,PRJNA478521,GCA_003290385.1,Complete,2.31866,41.2,chromosome:NZ_CP030753.1/CP030753.1,,1,2081,2018-07-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/290/385/GCA_003290385.1_ASM329038v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/290/385/GCF_003290385.1_ASM329038v1,x
Haemophilus influenzae,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC8143,SAMEA2498480,PRJEB6403,GCA_001457655.1,Complete,1.89064,38.2,chromosome 1:NZ_LN831035.1/LN831035.1,,1,1755,2015-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/655/GCA_001457655.1_NCTC8143,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/655/GCF_001457655.1_NCTC8143,x
Buchnera aphidicola (Macrosiphum euphorbiae),Bacteria;Proteobacteria;Gammaproteobacteria,Meu,SAMN09980512,PRJNA489301,GCA_005237295.1,Complete,0.645334,25.6,chromosome:NZ_CP033006.1/CP033006.1,,1,571,2019-05-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/237/295/GCA_005237295.1_ASM523729v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/237/295/GCF_005237295.1_ASM523729v1,x
Xylella fastidiosa 9a5c,Bacteria;Proteobacteria;Gammaproteobacteria,9a5c,SAMN02603773,PRJNA271,GCA_000006725.1,Complete,2.73175,52.6433,chromosome:NC_002488.3/AE003849.1; plasmid pXF1.3:NC_002489.3/AE003850.3; plasmid pXF51:NC_002490.1/AE003851.1,,3,2333,2000-06-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/725/GCA_000006725.1_ASM672v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/725/GCF_000006725.1_ASM672v1,x
Pseudomonas putida NBRC 14164,Bacteria;Proteobacteria;Gammaproteobacteria,NBRC 14164,SAMD00061028,PRJDB191,GCA_000412675.1,Complete,6.1567,62.3,chromosome:NC_021505.1/AP013070.1,,1,5366,2013-06-14T23:09:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/675/GCA_000412675.1_ASM41267v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/675/GCF_000412675.1_ASM41267v1,x
Xanthomonas axonopodis Xac29-1,Bacteria;Proteobacteria;Gammaproteobacteria,Xac29-1,SAMN02603863,PRJNA193074,GCA_000348585.1,Complete,5.29652,64.7171,chromosome:NC_020800.1/CP004399.1; plasmid pXAC33:NC_020801.1/CP004402.1; plasmid pXAC47:NC_020798.1/CP004401.1; plasmid pXAC64:NC_020797.1/CP004400.1,,4,4254,2013-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/585/GCA_000348585.1_ASM34858v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/348/585/GCF_000348585.1_ASM34858v1,x
Histophilus somni 2336,Bacteria;Proteobacteria;Gammaproteobacteria,2336,SAMN02598524,PRJNA388,GCA_000019405.1,Complete,2.26386,37.4,chromosome:NC_010519.1/CP000947.1,,1,1978,2008-02-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/405/GCA_000019405.1_ASM1940v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/405/GCF_000019405.1_ASM1940v1,x
Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,Bacteria;Proteobacteria;Gammaproteobacteria,Shaanxi_M228,SAMN02471925,PRJNA76165,GCA_000344475.3,Complete,6.74734,58.2774,chromosome:NZ_CP032631.1/CP032631.1; plasmid pM228:NZ_CP032632.1/CP032632.1,,2,5724,2018-10-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/475/GCA_000344475.3_ASM34447v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/344/475/GCF_000344475.3_ASM34447v3,x
Vibrio vulnificus,Bacteria;Proteobacteria;Gammaproteobacteria,CECT 4999,SAMN04457466,PRJNA312018,GCA_002215135.1,Complete,5.16313,46.5303,chromosome I:NZ_CP014636.1/CP014636.1; chromosome II:NZ_CP014637.1/CP014637.1; plasmid pR99:NZ_CP014638.1/CP014638.1,,3,4472,2017-07-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/135/GCF_002215135.1_ASM221513v1,x
Acinetobacter baumannii,Bacteria;Proteobacteria;Gammaproteobacteria,ATCC 19606,SAMN13045090,PRJNA577968,GCA_009759685.1,Complete,3.99039,39.1892,chromosome:NZ_CP046654.1/CP046654.1; plasmid pMAC:NZ_CP046655.1/CP046655.1,,2,3676,2019-12-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/759/685/GCA_009759685.1_ASM975968v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/759/685/GCF_009759685.1_ASM975968v1,x
