#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,x
Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504,Bacteria;Proteobacteria;delta/epsilon subdivisions,NCTC 11637,SAMEA3178013,PRJEB6403,GCA_900478295.1,Complete,1.68094,38.8,chromosome 1:NZ_LS483488.1/LS483488.1,,1,1470,2018-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/295/GCA_900478295.1_35377_D02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/295/GCF_900478295.1_35377_D02,x
Campylobacter fetus subsp. venerealis NCTC 10354,Bacteria;Proteobacteria;delta/epsilon subdivisions,NCTC 10354,SAMN12636415,PRJNA562219,GCA_008271385.1,Complete,1.91362,33.2212,chromosome:NZ_CP043435.1/CP043435.1; plasmid p3226:NZ_CP043436.1/CP043436.1,,2,1880,2019-09-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/271/385/GCA_008271385.1_ASM827138v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/271/385/GCF_008271385.1_ASM827138v1,x
Desulfovibrio vulgaris str. Hildenborough,Bacteria;Proteobacteria;delta/epsilon subdivisions,Hildenborough,SAMN02603973,PRJNA51,GCA_000195755.1,Complete,3.77316,63.2394,chromosome:NC_002937.3/AE017285.1; plasmid pDV:NC_005863.1/AE017286.1,,2,3228,2001-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/755/GCA_000195755.1_ASM19575v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/755/GCF_000195755.1_ASM19575v1,x
Anaeromyxobacter dehalogenans 2CP-1,Bacteria;Proteobacteria;delta/epsilon subdivisions,2CP-1,SAMN00000050,PRJNA20095,GCA_000022145.1,Complete,5.02933,74.7,chromosome:NC_011891.1/CP001359.1,,1,4460,2009-01-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/145/GCA_000022145.1_ASM2214v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/145/GCF_000022145.1_ASM2214v1,x
Helicobacter canadensis MIT 98-5491,Bacteria;Proteobacteria;delta/epsilon subdivisions,MIT 98-5491,SAMN00004577,PRJNA30719,GCA_000162575.1, Chromosome,1.62384,33.7,chromosome:NZ_CM000776.2/CM000776.2,ACSF01,1,1532,2009-07-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/575/GCA_000162575.1_ASM16257v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/575/GCF_000162575.1_ASM16257v1,x
Desulfovibrio piger,Bacteria;Proteobacteria;delta/epsilon subdivisions,FI11049,SAMEA4527702,PRJEB16679,GCA_900116045.1,Complete,2.80753,64.2,chromosome I:NZ_LT630450.1/LT630450.1,,1,2379,2016-11-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/116/045/GCA_900116045.1_DESPIGER,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/045/GCF_900116045.1_DESPIGER,x
Geobacter metallireducens GS-15,Bacteria;Proteobacteria;delta/epsilon subdivisions,GS-15,SAMN02598399,PRJNA177,GCA_000012925.1,Complete,4.01118,59.476,chromosome:NC_007517.1/CP000148.1; plasmid unnamed:NC_007515.1/CP000149.1,,2,3534,2005-10-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/925/GCA_000012925.1_ASM1292v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/925/GCF_000012925.1_ASM1292v1,x
Geobacter sulfurreducens PCA,Bacteria;Proteobacteria;delta/epsilon subdivisions,PCA,SAMN02603989,PRJNA192,GCA_000007985.2,Complete,3.81413,60.9,chromosome:NC_002939.5/AE017180.2,,1,3403,2002-02-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/985/GCA_000007985.2_ASM798v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/985/GCF_000007985.2_ASM798v2,x
Helicobacter hepaticus ATCC 51449,Bacteria;Proteobacteria;delta/epsilon subdivisions,ATCC 51449,SAMN02604097,PRJNA185,GCA_000007905.1,Complete,1.79915,35.9,chromosome:NC_004917.1/AE017125.1,,1,1762,2003-06-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/905/GCA_000007905.1_ASM790v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/905/GCF_000007905.1_ASM790v1,x
Lawsonia intracellularis PHE_MN1-00,Bacteria;Proteobacteria;delta/epsilon subdivisions,PHE_MN1-00,SAMEA3138257,PRJNA183,GCA_000055945.1,Complete,1.71901,33.0922,chromosome:NC_008011.1/AM180252.1; plasmid 1:NC_008012.1/AM180253.1; plasmid 2:NC_008013.1/AM180254.1; plasmid 3:NC_008014.1/AM180255.1,,4,1418,2006-05-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/055/945/GCA_000055945.1_ASM5594v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/055/945/GCF_000055945.1_ASM5594v1,x
Wolinella succinogenes DSM 1740,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSMZ 1740,SAMEA3138333,PRJNA445,GCA_000196135.1,Complete,2.11036,48.5,chromosome:NC_005090.1/BX571656.1,,1,2042,2003-09-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/135/GCA_000196135.1_ASM19613v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/135/GCF_000196135.1_ASM19613v1,x
Myxococcus xanthus DK 1622,Bacteria;Proteobacteria;delta/epsilon subdivisions,DK 1622,SAMN02604018,PRJNA1421,GCA_000012685.1,Complete,9.13976,68.9,chromosome:NC_008095.1/CP000113.1,,1,7234,2006-06-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/685/GCA_000012685.1_ASM1268v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/685/GCF_000012685.1_ASM1268v1,x
Campylobacter coli,Bacteria;Proteobacteria;delta/epsilon subdivisions,CFSAN054106,SAMN08663432,PRJNA243331,GCA_003030205.1,Complete,1.92527,31.0685,chromosome:NZ_CP028187.1/CP028187.1; plasmid pGMI16-001:NZ_CP028188.1/CP028188.1,,2,1930,2018-04-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/030/205/GCA_003030205.1_ASM303020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/030/205/GCF_003030205.1_ASM303020v1,x
